,e1100004418,e1100004419,e1100004421,e1100004422,e1100004425,e1100004426,e1100004430,e1100004431,e1100004433,e1100004434,e1100004435,e1100004436,e1100004439,e1100004442,e1100004443,e1100004444,e1100004445,e1100004446,e1100004451,e1100004452,e1100004453,e1100004454,e1100004455,e1100004458,e1100004460,e1100004465,e1100004467,e1100004468,e1100004469,e1100004470,e1100004472,e1100004475,e1100004476,e1100004477,e1100004481,e1100004484,e1100004487,e1100004489,e1100004492,e1100004494,e1100004495,e1100004496,e1100004497,e1100004501,e1100004502,e1100004503,e1100004507,e1100004508,e1100004509,e1100004510,e1100004511,e1100004514,e1100004518,e1100004519,e1100004520,e1100004524,e1100004525,e1100004526,e1100004527,e1100004529,e1100004531,e1100004532,e1100004534,e1100004536,e1100004537,e1100004538,e1100004539,e1100004540,e1100004544,e1100004547,e1100004548,e1100004549,e1100004550,e1100004552,e1100004557,e1100004558,e1100004559,e1100004560,e1100004561,e1100004563,e1100004567,e1100004568,e1100004569,e1100004571,e1100004572,e1100004573,e1100004574,e1100004578,e1100004579,e1100004580,e1100004581,e1100004582,e1100004583,e1100004585,e1100004588,e1100004592,e1100004593,e1100004594,e1100004595,e1100004597,e1100004599,e1100004601,e1100004603,e1100004605,e1100004611,e1100004612,e1100004614,e1100004618,e1100004619,e1100004622,e1100004623,e1100004624,e1100004626,e1100004630,e1100004631,e1100004634,e1100004635,e1100004636,e1100004638,e1100004642,e1100004643,e1100004646,e1100004647,e1100004648,e1100004650,e1100004654,e1100004655,e1100004658,e1100004659,e1100004660,e1100004661,e1100004662,e1100004666,e1100004667,e1100004670,e1100004671,e1100004672,e1100004673,e1100004674,e1100004676,e1100004677,e1100004678,e1100004679,e1100004681,e1100004683,e1100004685,e1100004688,e1100004689,e1100004690,e1100004691,e1100004693,e1100004695,e1100004697,e1100004701,e1100004702,e1100004703,e1100034946,e1100034947,e1100034958,e1100034959,e1100034970,e1100034971,e1100034983,e1100034988,e1100034995,e1100035000,e1100035006,e1100035007,e1100035012
e1100004494,1.10061,1.74615,2.06779,1.94527,1.10061,1.82853,1.01795,1.75004,0.00461,1.94131,1.94133,2.31534,0.18327,1.93937,1.9374,0.00231,1.74421,0.00231,1.90622,1.90187,1.93936,1.94526,0.00231,0.00231,2.31534,1.94526,0.00231,2.06779,1.74615,0.00231,2.3127,1.82702,1.90404,1.74615,0.00461,1.09406,2.33577,1.10062,2.06779,0,2.31534,1.10265,1.82853,1.10062,1.75403,2.37439,1.70951,1.09406,1.82853,2.33306,1.08498,1.08498,1.82574,1.70934,0.1784,1.70707,2.33306,1.04401,2.33305,1.82574,2.33573,0.1784,2.31797,2.34108,1.08498,1.04401,0.17597,1.82575,0.1784,2.32145,2.34108,1.04553,2.33307,1.82575,0.19303,2.37965,2.32145,2.34108,1.17009,1.82575,2.33306,0.18814,0.18328,2.32145,2.34108,1.04722,1.82702,2.33306,2.33306,0.18815,0.19302,2.31797,1.71938,1.19458,1.82905,0.18572,2.31797,2.31797,1.73167,1.16791,1.82574,1.82574,0.1784,2.37701,1.0128,2.33571,1.08087,2.31534,2.05825,2.38994,1.01913,2.33306,1.08087,2.31534,2.05825,1.08279,1.07729,2.33306,1.15795,1.70952,1.70952,1.00289,1.00511,1.08498,1.08293,1.10062,1.70952,1.0785,1.17205,1.08293,1.9163,1.17841,2.31534,1.71196,1.1002,1.91629,1.08703,2.33305,1.08498,2.33571,1.70952,1.70952,1.70952,2.38994,1.18247,2.33306,1.03144,1.10061,1.70952,2.31534,2.38994,1.08293,2.33306,1.16924,2.05825,1.00936,0.17597,2.33306,1.17742,1.91629,1.91629,1.9163,2.33305,2.0488,1.70934,2.06302,1.08498,1.70934,2.05115
e1100004495,2.07924,2.13842,1.76725,2.33755,2.07924,2.3202,1.99658,2.14231,2.31995,2.33359,2.3336,0,2.26509,2.33164,2.32967,2.31765,2.13648,2.31765,2.2985,2.29415,2.33164,2.33753,2.31765,2.31765,0,2.33753,2.31765,1.76725,2.13842,2.31764,0.00264,2.21929,2.29632,2.13842,2.31995,2.07268,0.05045,2.07925,1.76725,2.31534,0,2.08128,2.3202,2.07925,2.1463,0.08908,2.20118,2.07268,2.3202,0.04775,2.06361,2.06361,2.21801,2.10161,2.26023,2.19873,0.04775,2.02264,0.04774,2.21802,0.05041,2.26023,0.00264,0.05577,2.06361,2.02264,2.25779,2.21802,2.26023,0.03614,0.05577,2.02416,0.04776,2.21802,2.27486,0.09434,0.03614,0.05577,2.14872,2.21802,0.04774,2.26997,2.2651,0.03614,0.05577,2.02585,2.21929,0.04774,0.04775,2.26998,2.27485,0.00264,2.21105,2.17321,2.22133,2.26755,0.00264,0.00264,2.22334,2.14654,2.21802,2.21801,2.26023,0.0917,1.99143,0.0504,2.0595,0,1.75771,0.10463,1.99776,0.04775,2.0595,0,1.75771,2.06142,2.05592,0.04774,2.13658,2.20119,2.20118,1.98152,1.98373,2.06361,2.06156,2.07924,2.20119,2.05713,2.15067,2.06156,2.30857,2.15704,0,2.20363,2.07883,2.30857,2.06566,0.04774,2.06361,0.0504,2.20119,2.20119,2.20119,0.10463,2.1611,0.04775,2.01007,2.07924,2.20119,0.00001,0.10463,2.06156,0.04774,2.14787,1.75771,1.98798,2.25779,0.04775,2.15605,2.30857,2.30857,2.30857,0.04774,1.74826,2.10161,1.76248,2.06361,2.10161,1.75061
e1100004496,0.00204,1.51209,1.83372,1.71121,0.00204,1.59446,0.30729,1.51598,1.10726,1.70725,1.70727,2.08127,1.0524,1.7053,1.70334,1.10496,1.51014,1.10495,1.67216,1.66781,1.7053,1.7112,1.10495,1.10496,2.08127,1.7112,1.10496,1.83372,1.51209,1.10495,2.07863,1.59295,1.66998,1.51208,1.10726,0.0124,2.1017,0.00204,1.83372,1.10265,2.08128,0,1.59446,0.00204,1.51997,2.14032,1.47545,0.0124,1.59446,2.099,0.19897,0.19897,1.59168,1.47528,1.04753,1.473,2.099,0.26773,2.09899,1.59168,2.10166,1.04753,2.08391,2.10702,0.19897,0.26773,1.0451,1.59168,1.04753,2.08739,2.10702,0.26924,2.09901,1.59168,1.06217,2.14559,2.08739,2.10702,0.3938,1.59168,2.09899,1.05728,1.05241,2.08739,2.10702,0.27094,1.59295,2.09899,2.099,1.05728,1.06216,2.08391,1.48531,0.41829,1.59499,1.05485,2.0839,2.0839,1.49761,0.39162,1.59168,1.59168,1.04753,2.14295,0.23651,2.10165,0.19486,2.08128,1.82419,2.15587,0.24284,2.099,0.19486,2.08128,1.82418,0.06668,0.06118,2.09899,0.38166,1.47546,1.47545,0.29224,0.29445,0.19897,0.19692,0.00204,1.47546,0.06239,0.39576,0.19692,1.68223,0.40212,2.08127,1.4779,0.01855,1.68223,0.20102,2.09899,0.19897,2.10165,1.47545,1.47546,1.47546,2.15587,0.40619,2.099,0.25516,0.00204,1.47546,2.08127,2.15587,0.19692,2.09899,0.39295,1.82419,0.2987,1.0451,2.099,0.40114,1.68223,1.68223,1.68223,2.09899,1.81474,1.47528,1.82895,0.19897,1.47528,1.81709
e1100004497,1.59243,1.75101,2.07264,1.95013,1.59243,0,1.50977,1.7549,1.83314,1.94617,1.94618,2.32019,1.77828,1.94422,1.94226,1.83084,1.74906,1.83083,1.91108,1.90673,1.94422,1.95012,1.83083,1.83083,2.32019,1.95012,1.83084,2.07264,1.75101,1.83083,2.31755,1.83187,1.9089,1.751,1.83314,1.58587,2.34062,1.59243,2.07264,1.82853,2.3202,1.59446,0,1.59243,1.75889,2.37924,0.11902,1.58587,0,2.33792,1.57679,1.57679,1.8306,1.7142,1.77341,0.12146,2.33792,1.53583,2.33791,1.8306,2.34058,1.77341,2.32282,2.34594,1.5768,1.53583,1.77098,1.8306,1.77341,2.32631,2.34594,1.53735,2.33793,1.8306,1.78805,2.38451,2.32631,2.34594,1.66191,1.8306,2.33791,1.78316,1.77829,2.32631,2.34594,1.53904,1.83187,2.33791,2.33792,1.78316,1.78803,2.32282,0.13378,1.68639,1.83391,1.78073,2.32282,2.32282,0.14607,1.65972,1.8306,1.8306,1.77341,2.38187,1.50461,2.34057,1.57269,2.3202,2.06311,2.39479,1.51095,2.33792,1.57269,2.3202,2.0631,1.5746,1.5691,2.33791,1.64977,0.11902,0.11902,1.49471,1.49692,1.5768,1.57474,1.59243,0.11902,1.57032,1.66386,1.57475,1.92115,1.67022,2.32019,0.12147,1.59202,1.92115,1.57885,2.33791,1.5768,2.34057,0.11902,0.11902,0.11902,2.39479,1.67429,2.33792,1.52326,1.59243,0.11902,2.32019,2.39479,1.57475,2.33791,1.66105,2.06311,1.50117,1.77098,2.33792,1.66924,1.92115,1.92115,1.92115,2.33791,2.05366,1.7142,2.06787,1.5768,1.7142,2.05601
e1100004501,0.00001,1.51006,1.83169,1.70918,0,1.59243,0.30526,1.51395,1.10523,1.70522,1.70523,2.07924,1.05037,1.70327,1.70131,1.10293,1.50811,1.10292,1.67013,1.66578,1.70327,1.70917,1.10292,1.10293,2.07924,1.70917,1.10293,1.83169,1.51006,1.10292,2.0766,1.59092,1.66795,1.51005,1.10523,0.01037,2.09967,0,1.83169,1.10062,2.07925,0.00204,1.59243,0,1.51794,2.13829,1.47342,0.01037,1.59243,2.09697,0.19694,0.19694,1.58965,1.47325,1.0455,1.47097,2.09697,0.2657,2.09696,1.58965,2.09963,1.0455,2.08187,2.10499,0.19694,0.2657,1.04307,1.58965,1.0455,2.08536,2.10499,0.26721,2.09698,1.58965,1.06014,2.14356,2.08536,2.10499,0.39177,1.58965,2.09696,1.05525,1.05038,2.08536,2.10499,0.26891,1.59092,2.09696,2.09697,1.05525,1.06013,2.08187,1.48328,0.41626,1.59296,1.05282,2.08187,2.08187,1.49558,0.38959,1.58965,1.58965,1.0455,2.14092,0.23448,2.09962,0.19283,2.07925,1.82216,2.15384,0.24081,2.09697,0.19283,2.07925,1.82215,0.06465,0.05915,2.09696,0.37963,1.47342,1.47342,0.29021,0.29242,0.19694,0.19489,0,1.47343,0.06036,0.39373,0.19489,1.6802,0.40009,2.07924,1.47587,0.01652,1.6802,0.19899,2.09696,0.19694,2.09962,1.47342,1.47343,1.47342,2.15384,0.40415,2.09697,0.25313,0.00001,1.47342,2.07924,2.15384,0.19489,2.09696,0.39092,1.82216,0.29667,1.04307,2.09697,0.3991,1.6802,1.6802,1.6802,2.09696,1.81271,1.47325,1.82692,0.19694,1.47325,1.81506
e1100004502,1.51793,0.00789,1.89875,1.30011,1.51793,1.75889,1.43527,0.01178,1.75864,1.29615,1.29616,2.1463,1.70379,1.2942,1.29224,1.75634,0.00983,1.75634,1.26106,1.25671,1.2942,1.3001,1.75634,1.75634,2.1463,1.3001,1.75634,1.89875,0.00789,1.75634,2.14366,1.18185,1.25888,0.00789,1.75864,1.51138,2.16673,1.51794,1.89875,1.75403,2.1463,1.51997,1.75889,1.51794,0,2.20535,1.63987,1.51138,1.75889,2.16402,1.5023,1.5023,1.18058,1.06418,1.69892,1.63743,2.16402,1.46133,2.16402,1.18058,2.16669,1.69892,2.14893,2.17204,1.5023,1.46133,1.69649,1.18058,1.69892,2.15242,2.17205,1.46285,2.16404,1.18058,1.71355,2.21061,2.15242,2.17205,1.58741,1.18058,2.16402,1.70866,1.70379,2.15241,2.17204,1.46454,1.18185,2.16402,2.16403,1.70867,1.71354,2.14893,1.64974,1.6119,1.18389,1.70624,2.14893,2.14893,1.66203,1.58523,1.18058,1.18058,1.69892,2.20797,1.43012,2.16667,1.49819,2.1463,1.88921,2.2209,1.43645,2.16402,1.49819,2.1463,1.88921,1.50011,1.49461,2.16402,1.57527,1.63988,1.63988,1.42021,1.42243,1.5023,1.50025,1.51794,1.63988,1.49582,1.58937,1.50025,1.27113,1.59573,2.1463,1.64232,1.51752,1.27113,1.50435,2.16402,1.5023,2.16668,1.63988,1.63988,1.63988,2.2209,1.59979,2.16403,1.44876,1.51793,1.63988,2.1463,2.2209,1.50025,2.16402,1.58656,1.88921,1.42668,1.69649,2.16403,1.59474,1.27113,1.27113,1.27113,2.16402,1.87976,1.06418,1.89398,1.5023,1.06418,1.88211
e1100004503,2.13829,2.19747,1.8263,2.39659,2.13829,2.37925,2.05563,2.20136,2.379,2.39264,2.39265,0.08907,2.32414,2.39069,2.38872,2.3767,2.19553,2.37669,2.35754,2.3532,2.39068,2.39658,2.3767,2.3767,0.08907,2.39658,2.3767,1.8263,2.19747,2.37669,0.08643,2.27834,2.35536,2.19747,2.379,2.13173,0.1095,2.13829,1.8263,2.37439,0.08908,2.14032,2.37924,2.13829,2.20535,0,2.26023,2.13173,2.37925,0.1068,2.12266,2.12266,2.27706,2.16066,2.31928,2.25778,0.1068,2.08169,0.10679,2.27706,0.10946,2.31928,0.09171,0.11482,2.12266,2.08169,2.31684,2.27707,2.31928,0.09519,0.11482,2.08321,0.10681,2.27707,2.33391,0.00526,0.09519,0.11482,2.20777,2.27707,0.1068,2.32902,2.32415,0.09519,0.11482,2.0849,2.27834,0.10679,0.1068,2.32903,2.3339,0.09171,2.27009,2.23226,2.28037,2.32659,0.0917,0.0917,2.28239,2.20559,2.27707,2.27706,2.31928,0.00263,2.05047,0.10945,2.11855,0.08908,1.81676,0.03351,2.05681,0.1068,2.11855,0.08908,1.81676,2.12047,2.11496,0.10679,2.19563,2.26024,2.26023,2.04057,2.04278,2.12266,2.12061,2.13829,2.26024,2.11618,2.20972,2.12061,2.36762,2.21609,0.08908,2.26268,2.13788,2.36762,2.12471,0.10679,2.12266,0.10945,2.26023,2.26024,2.26024,0.03351,2.22015,0.1068,2.06912,2.13829,2.26024,0.08907,0.03351,2.12061,0.10679,2.20692,1.81676,2.04703,2.31684,0.1068,2.2151,2.36762,2.36762,2.36762,0.10679,1.80731,2.16066,1.82153,2.12266,2.16066,1.80966
e1100004507,1.47342,1.63199,1.95363,1.83112,1.47342,0.11902,1.39075,1.63589,1.71413,1.82716,1.82717,2.20118,1.65927,1.82521,1.82325,1.71182,1.63005,1.71182,1.79207,1.78772,1.82521,1.8311,1.71182,1.71182,2.20118,1.83111,1.71182,1.95363,1.63199,1.71182,2.19854,1.71286,1.78989,1.63199,1.71413,1.46686,2.22161,1.47342,1.95363,1.70951,2.20118,1.47545,0.11902,1.47342,1.63987,2.26023,0,1.46686,0.11902,2.2189,1.45778,1.45778,1.71159,1.59519,1.6544,0.00245,2.2189,1.41682,2.2189,1.71159,2.22157,1.6544,2.20381,2.22693,1.45778,1.41682,1.65197,1.71159,1.6544,2.2073,2.22693,1.41833,2.21892,1.71159,1.66903,2.26549,2.2073,2.22693,1.5429,1.71159,2.2189,1.66414,1.65928,2.2073,2.22693,1.42003,1.71286,2.2189,2.21891,1.66415,1.66902,2.20381,0.01476,1.56738,1.7149,1.66172,2.20381,2.20381,0.02706,1.54071,1.71159,1.71159,1.6544,2.26286,1.3856,2.22155,1.45368,2.20118,1.94409,2.27578,1.39194,2.21891,1.45368,2.20118,1.94409,1.45559,1.45009,2.2189,1.53076,0.00001,0,1.3757,1.37791,1.45778,1.45573,1.47342,0.00001,1.45131,1.54485,1.45573,1.80214,1.55121,2.20118,0.00245,1.47301,1.80214,1.45984,2.2189,1.45779,2.22156,0,0.00001,0.00001,2.27578,1.55528,2.21891,1.40425,1.47342,0.00001,2.20118,2.27578,1.45573,2.2189,1.54204,1.94409,1.38216,1.65197,2.21891,1.55023,1.80214,1.80214,1.80214,2.2189,1.93464,1.59519,1.94886,1.45778,1.59518,1.93699
e1100004508,0.01037,1.50349,1.82513,1.70262,0.01037,1.58587,0.2987,1.50739,1.09867,1.69866,1.69867,2.07268,1.04381,1.69671,1.69475,1.09637,1.50155,1.09636,1.66357,1.65922,1.69671,1.7026,1.09636,1.09636,2.07268,1.70261,1.09637,1.82513,1.50349,1.09636,2.07004,1.58436,1.66139,1.50349,1.09867,0,2.09311,0.01037,1.82513,1.09406,2.07268,0.0124,1.58587,0.01037,1.51138,2.13173,1.46686,0,1.58587,2.0904,0.19038,0.19038,1.58309,1.46669,1.03894,1.46441,2.09041,0.25914,2.0904,1.58309,2.09307,1.03894,2.07531,2.09843,0.19038,0.25914,1.03651,1.58309,1.03894,2.0788,2.09843,0.26065,2.09042,1.58309,1.05358,2.137,2.0788,2.09843,0.38521,1.58309,2.0904,1.04869,1.04382,2.0788,2.09843,0.26235,1.58436,2.0904,2.09041,1.04869,1.05356,2.07531,1.47672,0.4097,1.5864,1.04626,2.07531,2.07531,1.48902,0.38303,1.58309,1.58309,1.03894,2.13436,0.22792,2.09305,0.18627,2.07269,1.81559,2.14728,0.23425,2.09041,0.18627,2.07269,1.81559,0.05809,0.05259,2.0904,0.37307,1.46686,1.46686,0.28365,0.28586,0.19038,0.18833,0.01037,1.46687,0.0538,0.38717,0.18833,1.67364,0.39353,2.07268,1.46931,0.00615,1.67364,0.19243,2.0904,0.19038,2.09306,1.46686,1.46687,1.46686,2.14728,0.39759,2.09041,0.24657,0.01037,1.46686,2.07268,2.14728,0.18833,2.0904,0.38436,1.81559,0.29011,1.03651,2.09041,0.39254,1.67364,1.67364,1.67364,2.0904,1.80615,1.46669,1.82036,0.19038,1.46669,1.8085
e1100004509,1.59243,1.75101,2.07265,1.95013,1.59243,0,1.50977,1.7549,1.83314,1.94617,1.94619,2.32019,1.77828,1.94422,1.94226,1.83084,1.74906,1.83083,1.91108,1.90673,1.94422,1.95012,1.83083,1.83084,2.32019,1.95012,1.83084,2.07264,1.75101,1.83083,2.31755,1.83187,1.9089,1.75101,1.83314,1.58587,2.34062,1.59243,2.07265,1.82853,2.3202,1.59446,0,1.59243,1.75889,2.37925,0.11902,1.58587,0,2.33792,1.57679,1.5768,1.8306,1.7142,1.77341,0.12146,2.33792,1.53583,2.33791,1.8306,2.34058,1.77341,2.32283,2.34594,1.5768,1.53583,1.77098,1.8306,1.77341,2.32631,2.34594,1.53735,2.33793,1.8306,1.78805,2.38451,2.32631,2.34594,1.66191,1.8306,2.33792,1.78316,1.77829,2.32631,2.34594,1.53904,1.83187,2.33791,2.33792,1.78316,1.78804,2.32283,0.13378,1.68639,1.83391,1.78073,2.32282,2.32282,0.14607,1.65973,1.8306,1.8306,1.77341,2.38187,1.50461,2.34057,1.57269,2.3202,2.06311,2.3948,1.51095,2.33792,1.57269,2.3202,2.06311,1.5746,1.5691,2.33791,1.64977,0.11902,0.11902,1.49471,1.49692,1.5768,1.57475,1.59243,0.11902,1.57032,1.66386,1.57475,1.92115,1.67022,2.3202,0.12147,1.59202,1.92115,1.57885,2.33791,1.5768,2.34057,0.11902,0.11902,0.11902,2.39479,1.67429,2.33792,1.52326,1.59243,0.11902,2.32019,2.3948,1.57475,2.33791,1.66105,2.06311,1.50117,1.77098,2.33792,1.66924,1.92115,1.92115,1.92115,2.33791,2.05366,1.7142,2.06787,1.5768,1.7142,2.05601
e1100004510,2.09696,2.15614,1.78497,2.35527,2.09696,2.33792,2.0143,2.16003,2.33767,2.35131,2.35132,0.04774,2.28282,2.34936,2.34739,2.33537,2.1542,2.33537,2.31622,2.31187,2.34936,2.35525,2.33537,2.33537,0.04774,2.35525,2.33537,1.78497,2.15614,2.33536,0.0451,2.23701,2.31404,2.15614,2.33767,2.0904,0.00271,2.09697,1.78497,2.33306,0.04775,2.099,2.33792,2.09697,2.16402,0.1068,2.2189,2.0904,2.33792,0,2.08133,2.08133,2.23573,2.11933,2.27795,2.21645,0,2.04036,0.00001,2.23574,0.00267,2.27795,0.05037,0.02731,2.08133,2.04036,2.27551,2.23574,2.27795,0.03601,0.02732,2.04188,0.00538,2.23574,2.29258,0.11206,0.03601,0.02732,2.16644,2.23574,0,2.28769,2.28282,0.03601,0.02732,2.04357,2.23701,0.00001,0.00001,2.2877,2.29257,0.05037,2.22877,2.19093,2.23905,2.28527,0.05037,0.05037,2.24106,2.16426,2.23574,2.23573,2.27795,0.10942,2.00915,0.00267,2.07722,0.04775,1.77543,0.12235,2.01548,0,2.07722,0.04775,1.77543,2.07914,2.07364,0.00001,2.1543,2.21891,2.2189,1.99924,2.00145,2.08133,2.07928,2.09696,2.21891,2.07485,2.16839,2.07928,2.32629,2.17476,0.04774,2.22135,2.09655,2.32629,2.08338,0.00001,2.08133,0.00267,2.21891,2.21891,2.21891,0.12235,2.17882,0,2.02779,2.09696,2.21891,0.04774,0.12235,2.07928,0,2.16559,1.77543,2.0057,2.27551,0.00001,2.17377,2.32629,2.32629,2.32629,0.00001,1.76598,2.11933,1.7802,2.08133,2.11933,1.76833
e1100004511,0.19694,1.49442,1.81606,1.69354,0.19694,1.57679,0.28963,1.49831,1.08959,1.68958,1.6896,2.0636,1.03473,1.68763,1.68567,1.08729,1.49247,1.08728,1.65449,1.65014,1.68763,1.69353,1.08729,1.08729,2.0636,1.69353,1.08729,1.81606,1.49442,1.08728,2.06097,1.57528,1.65231,1.49442,1.08959,0.19038,2.08403,0.19694,1.81606,1.08498,2.06361,0.19897,1.57679,0.19694,1.5023,2.12266,1.45778,0.19038,1.57679,2.08133,0,0,1.57401,1.45761,1.02986,1.45533,2.08133,0.25006,2.08132,1.57401,2.08399,1.02986,2.06624,2.08935,0,0.25006,1.02743,1.57401,1.02986,2.06972,2.08935,0.25157,2.08134,1.57401,1.0445,2.12792,2.06972,2.08935,0.37614,1.57401,2.08133,1.03961,1.03474,2.06972,2.08935,0.25327,1.57528,2.08132,2.08133,1.03962,1.04449,2.06624,1.46764,0.40062,1.57732,1.03718,2.06623,2.06624,1.47994,0.37395,1.57401,1.57401,1.02986,2.12528,0.21884,2.08398,0.00411,2.06361,1.80652,2.13821,0.22518,2.08133,0.00411,2.06361,1.80652,0.17911,0.17361,2.08132,0.364,1.45779,1.45778,0.27457,0.27678,0,0.00205,0.19694,1.45779,0.17482,0.37809,0.00205,1.66456,0.38445,2.06361,1.46023,0.19652,1.66456,0.00616,2.08132,0.00411,2.08398,1.45778,1.45779,1.45779,2.13821,0.38852,2.08133,0.23749,0.19694,1.45779,2.0636,2.13821,0.00205,2.08132,0.37528,1.80652,0.28103,1.02743,2.08133,0.38347,1.66456,1.66456,1.66456,2.08132,1.79707,1.45761,1.81128,0.0041,1.45761,1.79942
e1100004514,0.19694,1.49442,1.81606,1.69354,0.19694,1.5768,0.28963,1.49831,1.08959,1.68958,1.6896,2.0636,1.03473,1.68763,1.68567,1.08729,1.49247,1.08729,1.65449,1.65014,1.68763,1.69353,1.08729,1.08729,2.06361,1.69353,1.08729,1.81606,1.49442,1.08728,2.06097,1.57528,1.65231,1.49442,1.08959,0.19038,2.08403,0.19694,1.81606,1.08498,2.06361,0.19897,1.57679,0.19694,1.5023,2.12266,1.45778,0.19038,1.5768,2.08133,0,0,1.57401,1.45761,1.02987,1.45533,2.08133,0.25006,2.08132,1.57401,2.08399,1.02987,2.06624,2.08935,0,0.25006,1.02743,1.57401,1.02987,2.06972,2.08935,0.25158,2.08134,1.57401,1.0445,2.12792,2.06972,2.08935,0.37614,1.57401,2.08133,1.03961,1.03474,2.06972,2.08935,0.25327,1.57528,2.08132,2.08133,1.03962,1.04449,2.06624,1.46764,0.40062,1.57732,1.03719,2.06624,2.06624,1.47994,0.37395,1.57401,1.57401,1.02987,2.12528,0.21884,2.08398,0.00411,2.06361,1.80652,2.13821,0.22518,2.08133,0.00411,2.06361,1.80652,0.17911,0.17361,2.08132,0.364,1.45779,1.45778,0.27457,0.27678,0,0.00205,0.19694,1.45779,0.17483,0.37809,0.00206,1.66456,0.38445,2.06361,1.46023,0.19653,1.66456,0.00616,2.08132,0.00411,2.08398,1.45779,1.45779,1.45779,2.13821,0.38852,2.08133,0.23749,0.19694,1.45779,2.0636,2.13821,0.00206,2.08133,0.37528,1.80652,0.28103,1.02743,2.08133,0.38347,1.66456,1.66456,1.66456,2.08132,1.79707,1.45761,1.81129,0.0041,1.45761,1.79942
e1100004518,1.58965,1.1727,1.97046,0.83325,1.58965,1.8306,1.50698,1.17659,1.83035,0.82929,0.82931,2.21801,1.7755,0.82734,0.82538,1.82805,1.17075,1.82805,0.36753,0.36318,0.82734,0.83324,1.82805,1.82805,2.21801,0.83324,1.82805,1.97046,1.1727,1.82805,2.21537,0.00409,0.36535,1.1727,1.83035,1.58309,2.23844,1.58965,1.97046,1.82574,2.21801,1.59168,1.8306,1.58965,1.18058,2.27706,1.71159,1.58309,1.8306,2.23573,1.57401,1.57401,0,0.83025,1.77063,1.70914,2.23573,1.53304,2.23573,0,2.2384,1.77063,2.22064,2.24376,1.57401,1.53304,1.7682,0.00001,1.77063,2.22413,2.24376,1.53456,2.23575,0.00001,1.78526,2.28232,2.22413,2.24376,1.65912,0.00001,2.23573,1.78037,1.7755,2.22413,2.24376,1.53626,0.00409,2.23573,2.23574,1.78038,1.78525,2.22064,1.72145,1.68361,0.00613,1.77795,2.22064,2.22064,1.73374,1.65694,0.00001,0,1.77063,2.27969,1.50183,2.23838,1.5699,2.21801,1.96092,2.29261,1.50816,2.23574,1.5699,2.21801,1.96092,1.57182,1.56632,2.23573,1.64698,1.71159,1.71159,1.49193,1.49414,1.57401,1.57196,1.58965,1.71159,1.56753,1.66108,1.57196,0.3776,1.66744,2.21801,1.71404,1.58923,0.3776,1.57606,2.23573,1.57401,2.23839,1.71159,1.71159,1.71159,2.29261,1.6715,2.23574,1.52047,1.58965,1.71159,2.21801,2.29261,1.57196,2.23573,1.65827,1.96092,1.49839,1.7682,2.23574,1.66645,0.3776,0.3776,0.3776,2.23573,1.95147,0.83025,1.96569,1.57401,0.83025,1.95382
e1100004519,1.47325,1.0563,1.85406,0.94978,1.47325,1.7142,1.39058,1.06019,1.71395,0.94582,0.94583,2.10161,1.6591,0.94387,0.94191,1.71165,1.05435,1.71165,0.91073,0.90638,0.94387,0.94977,1.71165,1.71165,2.10161,0.94977,1.71165,1.85406,1.0563,1.71165,2.09897,0.83152,0.90855,1.0563,1.71395,1.46669,2.12204,1.47325,1.85406,1.70934,2.10161,1.47528,1.7142,1.47325,1.06418,2.16066,1.59519,1.46669,1.7142,2.11933,1.45761,1.45761,0.83025,0,1.65423,1.59274,2.11933,1.41664,2.11933,0.83025,2.122,1.65423,2.10424,2.12735,1.45761,1.41664,1.6518,0.83025,1.65423,2.10773,2.12736,1.41816,2.11935,0.83025,1.66886,2.16592,2.10773,2.12736,1.54272,0.83025,2.11933,1.66397,1.6591,2.10773,2.12736,1.41985,0.83152,2.11933,2.11934,1.66398,1.66885,2.10424,1.60505,1.56721,0.83356,1.66155,2.10424,2.10424,1.61734,1.54054,0.83025,0.83025,1.65423,2.16329,1.38543,2.12198,1.4535,2.10161,1.84452,2.17621,1.39176,2.11934,1.4535,2.10161,1.84452,1.45542,1.44992,2.11933,1.53058,1.59519,1.59519,1.37552,1.37774,1.45761,1.45556,1.47325,1.59519,1.45113,1.54468,1.45556,0.9208,1.55104,2.10161,1.59764,1.47283,0.9208,1.45966,2.11933,1.45761,2.12199,1.59519,1.59519,1.59519,2.17621,1.5551,2.11934,1.40407,1.47325,1.59519,2.10161,2.17621,1.45556,2.11933,1.54187,1.84452,1.38199,1.6518,2.11934,1.55005,0.9208,0.9208,0.9208,2.11933,1.83507,0,1.84929,1.45761,0,1.83742
